DEWP,num_delays,avg_delay_time
78.0,39,31.97
78.1,22,72.68
78.2,18,17.78
78.3,51,24.43
78.4,76,27.92
78.5,35,28.03
78.6,6,58.33
78.7,23,24.91
78.8,68,40.44
78.9,8,29.25
79.0,1,82.00
79.1,24,34.88
79.8,2,6.00
79.9,1,4.00
80.1,1,64.00
80.3,1,42.00
82.9,7,29.00
